site;season;date_sample;date_sentinel;sample;biomass;latitude;longitude
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M6;19,932;-34,10638;-71,78972
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M7;17,52;-34,10554;-71,78993
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M8;18,928;-34,10508;-71,78993
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M9;16,664;-34,10545;-71,78898
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M10;22,052;-34,10583;-71,78876
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M7;15,424;-34,10784;-71,78951
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M8;14,512;-34,10762;-71,78655
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M9;10,024;-34,10946;-71,78592
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M10;22,96;-34,10954;-71,78980
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M11;15,936;-34,11080;-71,79010
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M12;9,296;-34,11224;-71,78852
